Företagsnamn,Organisationsnummer,Telefonnummer,Adress
Svenska Inredningsfabrikanters Försäljnings Aktiebolag,556319-0239,Telefon 031-17 08 30,"Viktoriagatan 24, 411 25 Göteborg"
MCES AB,556971-3927,,"Skolgatan 43 a, 753 32 Uppsala"
Wingårdh och Medarbetare Aktiebolag,556489-8491,Telefon 070-810 13 70,"Kungsgatan 10 a, 411 19 Göteborg"
Semrén & Månsson Arkitekter AB,556748-3044,Telefon 031-743 02 00,"Polhemsplatsen 5, 411 11 Göteborg"
bsv arkitekter & ingenjörer AB,556682-6573,Telefon 010-130 03 00,"Järnvägsgatan 3, 331 37 Värnamo"
Projektbyggaren Teknik Syd AB,556281-1280,Telefon 073-553 99 97,"Stortorget 10 3tr, 371 13 Karlskrona"
Lexium Service Management AB,556631-8449,Telefon 010-210 45 00,"Råsundavägen 20 b, 169 67 Solna"
ÅWL Arkitekter Aktiebolag,556517-6012,Telefon 08-555 786 00,"Nytorgsgatan 30, 116 40 Stockholm"
Yellon AB,556359-0917,,"Framgången 1, 553 18 Jönköping"
Kreera Samhällsbyggnad Sverige AB,556729-4011,Telefon 040-17 65 50,"Södra Förstadsgatan 4 6tr, 211 43 Malmö"
"Byrån för Arkitektur och Urbanism, BAU, AB",556416-8093,,"Gävlegatan 12 a 5tr, 113 30 Stockholm"
C.F. Møller Sverige AB,556549-4712,Telefon 08-555 760 00,"Renstiernas Gata 12 c, 116 28 Stockholm"
A4 Entreprenad Stockholm AB,556864-0337,Telefon 08-121 497 00,"Heliosgatan 45, 120 63 Stockholm"
Carlstedt Arkitekter Aktiebolag,556070-0089,Telefon 08-696 95 30,"Söder Mälarstrand 29/57, 118 25 Stockholm"
A & P Arkitektkontor AB,556570-9846,,"Skeppsbron 44, 111 30 Stockholm"
Cedervall Arkitekter AB,556184-5073,Telefon 08-616 83 20,"Maria Bangata 6, 118 63 Stockholm"
Strategisk Arkitektur Fries & Ekeroth Aktiebolag,556490-6575,Telefon 08-586 176 00,"Drottninggatan 25, 111 51 Stockholm"
Manor H Service AB,556836-4219,,"Södra Hamnvägen 32, 115 41 Stockholm"
Arkitekterna Krook & Tjäder i Kristianstad AB,556335-5766,Telefon 044-20 46 00,"Döbelnsgatan 9, 291 31 Kristianstad"
Set Up AB,556800-4328,Telefon 073-508 09 99,"Kungsgatan 57, 111 22 Stockholm"
Palma Totalentreprenad AB,556940-2273,Telefon 08-29 29 12,"Frejgatan 20, 113 49 Stockholm"
JRETAIL Bygg & Inredning AB,556815-2937,Telefon 073-331 70 70,"Energigatan 12, 434 37 Kungsbacka"
Studio Stockholm Arkitektur AB,556929-8705,Telefon 08-501 266 10,"Repslagargatan 17 b, 118 46 Stockholm"
DINELLJOHANSSON AB,556832-4064,Telefon 070-729 35 09,"Olofsgatan 12, 111 36 Stockholm"
Arqly Sverige AB,556599-2251,Telefon 010-516 26 00,"Västgötegatan 7, 602 21 Norrköping"
Coordia Consult Aktiebolag,556123-7420,Telefon 08-626 64 00,"Sollentunavägen 63, 191 40 Sollentuna"
Cheil Nordic AB,556932-8403,Telefon 08-632 06 67,"Torshamnsgatan 44 2tr, 164 40 Kista"
Okidoki AB,556689-3664,Telefon 073-707 69 22,"Kastellgatan 1, 411 22 Göteborg"
Archus Arkitektur AB,556733-6374,Telefon 021-15 60 00,"Kopparbergsvägen 8, 722 13 Västerås"
Inventia Inredningsbyrån AB,556400-1542,Telefon 08-642 00 40,"Hammarby Kaj 44, 120 63 Stockholm"
Fredblad Arkitekter Aktiebolag,556500-5492,Telefon 035-17 49 00,"Bastionsgatan 1, 302 43 Halmstad"
Arkitekterna Krook & Tjäder i Malmö AB,556666-6334,,"Kanalgatan 5, 211 40 Malmö"
DAP Stockholm AB,556722-5007,Telefon 08-611 56 01,"c/o 7WISE ADVOKATBYRÅ KB, Kungsgatan 56, 111 22 Stockholm"
Kaminsky Arkitektur AB,556723-9545,Telefon 031-761 20 01,"Viktor Rydbergsgatan 14, 411 32 Göteborg"
Brunnberg & Forshed Arkitektkontor Aktiebolag,556272-3113,Telefon 08-617 61 00,"Linnégatan 89 b Vån 5, 115 23 Stockholm"
Unik Fastighetsförmedling Stockholm AB,559117-2365,,"c/o Torsplan 8, Torsplan 8, 113 65 Stockholm"
Zynka BIM AB,556960-2864,Telefon 076-893 39 42,"Sankt Eriksgatan 5, 411 05 Göteborg"
Rundquist arkitekter AB,556565-5742,Telefon 08-545 132 80,"Textilgatan 43 d, 120 30 Stockholm"
Reflex Arkitekter AB,556813-9033,,"Repslagargatan 17 a, 118 46 Stockholm"
Landskapslaget Aktiebolag,556357-5579,Telefon 08-442 48 20,"Ölandsgatan 42, 116 63 Stockholm"
Harjak & Månsson AB,556466-0040,Telefon 08-762 81 21,"Nk 177, 111 77 Stockholm"
AFRY sandellsandberg AB,556464-9308,Telefon 08-506 531 00,"Frösundaleden 2 a, 169 99 Stockholm"
Wester & Elsner Arkitekter AB,556663-5016,,"Blasieholmsgatan 4 a, 111 48 Stockholm"
The Hammer group AB,556646-9424,Telefon 013-10 62 00,"Box 464, 581 05 Linköping"
ETTELVA Arkitekter AB,556298-7445,Telefon 08-785 05 60,"Maria Skolgata 79 a, 118 53 Stockholm"
AG arkitekter AB,556533-9404,Telefon 08-692 06 40,"Warfvinges Väg 30, 112 51 Stockholm"
Radar arkitektur & planering AB,556670-6197,,"Surbrunnsgatan 6, 411 19 Göteborg"
Arkitekterna Krook & Tjäder i Stockholm AB,556704-5629,Telefon 08-402 55 70,"Östgötagatan 50, 116 64 Stockholm"
MER Arkitekter AB,556527-3009,Telefon 08-658 79 00,"Maria Skolgata 79 a, 118 53 Stockholm"
Funkia AB,556726-6480,Telefon 08-669 39 06,"Kabyssgatan 4 d, 120 30 Stockholm"
Structor Örebro AB,556766-2993,Telefon 019-676 26 00,"Gustavsviksvägen 3, 702 44 Örebro"
Krook & Tjäder Holding AB,556716-0394,,"Prinsgatan 12, 413 05 Göteborg"
Studio Ramson AB,559093-5937,,"Riddargatan 23, 114 57 Stockholm"
Codesign Sweden AB,556561-3980,Telefon 08-503 020 30,"Hantverkargatan 12, 112 21 Stockholm"
Farmore Creative Interior Solutions Aktiebolag,559017-2697,,"Krokslätts Fabriker 30, 431 37 Mölndal"
Feel Design AB,556817-1309,,"Karstorpsvägen 2, 289 92 Broby"
Lindberg Stenberg Arkitekter Aktiebolag,556250-6609,Telefon 08-406 87 00,"Pustegränd 3, 118 20 Stockholm"
Ett Vackert Hem 2.0 AB,559276-4814,,"Järnvägsgatan 32, 131 54 Nacka"
Interior Design Collection Luleå AB,556560-9681,Telefon 0920-22 01 01,"Kungsgatan 8 b, 972 34 Luleå"
Rumrum Aktiebolag,556544-2174,Telefon 040-30 31 00,"Gustav Adolfs Torg 10 a, 211 39 Malmö"
Husdesign Gruppen Sverige AB,559123-7994,,"Olbergavägen 15, 734 92 Hallstahammar"
Murman Arkitekter AB,556292-6724,Telefon 08-462 14 50,"Tjärhovsgatan 4, 116 21 Stockholm"
Stockholms Interiörgolv AB,556387-1747,Telefon 08-568 798 83,"Åmmebergsgatan 36, 124 70 Bandhagen"
EB Studio AB,556849-2325,Telefon 076-791 09 56,"c/o Johan Ernstsson / Johan Borg, Adelgatan 2, 211 22 Malmö"
Klara Arkitektbyrå i Karlstad Aktiebolag,556486-4329,,"Södra Kyrkogatan 6 4tr, 652 24 Karlstad"
E&N Tapetserare & Inredning AB,556647-0950,Telefon 08-29 73 03,"Järnvägsgatan 58, 172 35 Sundbyberg"
Andreas Martin-Löf Arkitekter AB,556755-7714,Telefon 08-644 77 02,"Kungsholmstorg 1, 112 21 Stockholm"
Arya Invest AB,556763-0107,,"Biblioteksgatan 11, 111 46 Stockholm"
Tapetlagret Öbergs Färghus i Västerås Aktiebolag,556066-8591,,"Retortgatan 3, 721 30 Västerås"
Mälarträd AB,556558-6186,Telefon 08-556 191 70,"Producentvägen 20, 120 44 Årsta"
A&J Landskap AB,556451-9881,Telefon 08-644 90 50,"Södermannagatan 5, 116 23 Stockholm"
KARAVAN landskapsarkitekter AB,556797-5809,,"Fyristorg 6 2tr, 753 10 Uppsala"
The First Impression Company AB,556999-6597,Telefon 08-410 210 41,"Brunnsgatan 21, 111 38 Stockholm"
Eighty-Eight Consulting Company AB,559179-6023,,"Styrsåsvägen 20, 437 93 Lindome"
Bucca Studio AB,559237-9159,,"Skeppargatan 29, 114 52 Stockholm"
Heimstaden Strängnäs AB,556299-0936,,"Regementsgatan 54, 217 48 Malmö"
Lets Paint Måleri och Design Norrköping AB,559130-4273,,"Fjärilsgatan 29 B, 603 61 Norrköping"
Esparlous Design AB,556980-0666,,"Vildgåsvägen 7 c Lgh 1101, 227 35 Lund"
Greenified AB,556619-5573,Telefon 08-517 112 00,"Olof Asklunds Gata 10, 421 30 Västra Frölunda"
HMXW Arkitekter AB,556652-0192,,"Södermannagatan 15, 116 40 Stockholm"
HELUX Storkök och Inredningar AB,556885-5422,Telefon 036-12 21 22,"Gnejsvägen 2, 553 03 Jönköping"
Varg arkitekter AB,556918-0036,Telefon 08-408 088 00,"Renstiernas Gata 12 c, 116 28 Stockholm"
Land Arkitektur AB,556758-1078,Telefon 08-410 608 70,"Repslagargatan 15 a, 118 46 Stockholm"
The Norrmans AB,559325-7602,,"Byggetsrundan 299, 266 95 Munka-Ljungby"
Spoil Concept AB,556681-8729,Telefon 08-410 470 06,"Sturegatan 34, 114 36 Stockholm"
Olsson Lyckefors Arkitektur AB,556860-7880,Telefon 031-20 30 62,"Hälsingegatan 12, 414 63 Göteborg"
May studio AB,559074-1517,,"Magnus Ladulåsgatan 48, 118 27 Stockholm"
PMB Living AB,559358-5564,,"Östersjövägen 47, 374 31 Karlshamn"
Melimeli AB,559021-7278,,"Slussplan 5, 111 30 Stockholm"
Gatun Arkitekter AB,556512-0515,Telefon 08-506 016 50,"Åsögatan 119, 116 24 Stockholm"
Stallbyggen i Sölvesborg Aktiebolag,556430-5919,Telefon 0456-104 01,"Löparevägen 2, 294 39 Sölvesborg"
BIMensions AB,559110-3519,,"Monsungatan 42, 417 66 Göteborg"
Perfect Match Interior AB,556719-3593,Telefon 0662-302 70,"Lomvägen 2, 897 91 Långviksmon"
Fru Bohlin AB,556932-7942,Telefon 08-128 100 00,"Roslagsgatan 9 Bv, 113 55 Stockholm"
Ross & Hart Byggnads AB,559014-4092,,"Lützengatan 9, 115 20 Stockholm"
Contekton Arkitekter Fyrstad AB,556556-5024,Telefon 0521-26 26 80,"Kungsgatan 3, 462 33 Vänersborg"
Urban Minds AB,556906-8595,Telefon 08-522 547 70,"Östgötagatan 16 4tr, 116 25 Stockholm"
Allard Hvengaard Konsult AB,559067-1193,,"Fågelbacksgatan 27 a, 217 44 Malmö"
Winell & Jern arkitekter AB,556826-5432,Telefon 013-24 40 40,"Brandmannagatan 1, 582 52 Linköping"
MODESTY Concept AB,556905-1880,,"Drottninggatan 13 0tr, 411 14 Göteborg"
O Lind AB,556953-1204,,"Kållerödsvägen 2, 442 60 Kode"
Kjellander & Sjöberg Arkitektkontor Aktiebolag,556522-8573,Telefon 08-615 32 80,"Rosenlundsgatan 40, 118 53 Stockholm"
Stylt-Trampoli Aktiebolag,556421-2727,Telefon 031-708 68 00,"Masthamnsgatan 5, 413 29 Göteborg"
Enter Arkitektur AB,556478-0970,Telefon 010-484 83 00,"Lantmätargränd 59 6tr, 553 20 Jönköping"
Tham & Videgård Arkitekter AB,556577-1820,Telefon 08-702 00 46,"Blekingegatan 42, 116 62 Stockholm"
Mäss support i Sverige AB,556743-4930,Telefon 070-349 30 75,"Skänningevägen 1, 591 79 Fornåsa"
Concept Lighting Nordic AB,556983-1216,Telefon 073-241 14 55,"Krokslätts Fabriker 32, 431 37 Mölndal"
MoodHouse AB,556690-6169,Telefon 031-762 45 90,"Hulda Lindgrens Gata 8 Bv, 421 31 Västra Frölunda"
Krook & Tjäder Solutions AB,556734-6787,,"Prinsgatan 12, 413 05 Göteborg"
Atrio Arkitekter Kalmar Aktiebolag,556527-4197,Telefon 0480-423 30,"Södra Vallgatan 19 a, 392 31 Kalmar"
Ellsinger Projektledning AB,556748-5106,,"Cedergatan 11, 426 74 Västra Frölunda"
Gajd Arkitekter AB,556644-8972,,"Polhemsplatsen 5, 411 11 Göteborg"
Drottninghusgränd Evenemang & Inredning AB,556531-1353,,"Drottninghusgränd 3, 111 39 Stockholm"
Sanna Form AB,556847-2251,Telefon 036-18 40 06,"Hedentorpsvägen 7, 554 75 Jönköping"
Pantektor AB,556558-0312,Telefon 040-601 40 00,"Olsgårdsgatan 14 1tr, 215 79 Malmö"
Arkitektgruppen i Malmö AB,556549-8697,,"Gråbrödersgatan 2, 211 21 Malmö"
Hållén Arkitekter i Örebro AB,556270-0079,Telefon 019-670 80 60,"Stortorget 8, 702 11 Örebro"
thorbjörnsson+edgren arkitektkontor AB,556575-5450,,"Drottninggatan 11 b, 411 14 Göteborg"
Inprove Construction AB,559147-2039,,"Hantverkargatan 50 0tr, 112 31 Stockholm"
Spectrum arkitekter AB,556943-7154,Telefon 073-633 64 63,"Bondegatan 41, 116 33 Stockholm"
Arkitekterna Krook & Tjäder i Borås AB,556182-1082,,"Södra Kyrkogatan 35, 503 34 Borås"
sense by us AB,559473-7354,,"Momarken 20, 556 50 Jönköping"
Entreprenadsystem i Stockholm Aktiebolag,556248-8444,Telefon 08-642 83 10,"Södra Catalinagränd 5 b, 183 68 Täby"
TMRW Partners AB,556782-9568,,"Mårten Krakowgatan 2, 411 04 Göteborg"
Arkitekterna Krook & Tjäder i Halmstad AB,556858-2141,,"Köpmansgatan 20, 302 42 Halmstad"
Detail Group Sweden AB,559028-4880,,"Hallandsgatan 24, 118 57 Stockholm"
Arkitektbyrån Design Göteborg AB,556796-5362,,"Östra Hamngatan 46, 412 50 Göteborg"
Mareld AB,556699-8612,Telefon 031-10 77 90,"Esperantoplatsen 7-9 1tr, 411 19 Göteborg"
Fadeform AB,556824-9980,Telefon 08-512 545 40,"Paternostervägen 12, 121 49 Johanneshov"
Nord Skate & Entreprenad AB,556763-9611,,"Kvarnholmsvägen 77, 131 31 Nacka"
BBH Arkitektur & Teknik Aktiebolag,556291-4548,Telefon 08-727 95 00,"Krukmakargatan 21, 118 51 Stockholm"
BSK Arkitekter Aktiebolag,556278-6946,,"Björns Trädgårdsgränd 1 a, 116 21 Stockholm"
Archus AB,556353-6746,Telefon 021-15 60 00,"Kopparbergsvägen 8 Plan d, 722 13 Västerås"
SP Utemiljö AB,556847-3879,,"Björklundsgatan 1, 584 22 Linköping"
Refine Design Studio AB,559158-1029,,"Vanadisvägen 28, 113 46 Stockholm"
Elinder&Sten Arkitekter AB,556886-5256,Telefon 08-662 80 00,"Sveavägen 24-26, 111 57 Stockholm"
Spacescape AB,556613-7385,,"Skeppsbron 44, 111 30 Stockholm"
Joy Of Plenty AB,556752-4581,,"Skaraborgsvägen 25, 506 30 Borås"
Sesam Arkitekter Aktiebolag,556551-3362,Telefon 044-18 48 80,"Östra Boulevarden 40, 291 31 Kristianstad"
Rådhuset Arkitekter Aktiebolag,556547-0571,Telefon 0522-65 66 67,"Kungsgatan 27, 451 30 Uddevalla"
Stark Arkitekter AB,559432-7826,Telefon 08-503 593 06,"Storgatan 52 b, 972 31 Luleå"
Johan Skoog Arkitekter Aktiebolag,556425-8290,,"Södra Skeppsbron 35, 802 86 Gävle"
Tilda & Co AB,556755-5361,,"Gullmarsvägen 48 b, 120 39 Årsta"
Trädkontoret AB,556862-7847,Telefon 073-075 97 38,"Stortorget 27, 211 34 Malmö"
Gottfridsson o Persson Construction AB,556571-1198,Telefon 070-582 09 34,"Fatvägen 10 f, 906 20 Umeå"
Nivå landskapsarkitektur AB,556584-5145,Telefon 08-702 12 77,"Renstiernas Gata 12 Bv, 116 28 Stockholm"
Nordisk Kombination Arkitekter AB,556723-6822,Telefon 08-462 30 60,"Malmskillnadsgatan 41 Bv, 111 38 Stockholm"
Arkitekterna Krook & Tjäder i Uppsala AB,559046-6495,,"Kungsängsgatan 5 a, 753 22 Uppsala"
Whitegoods i Norden AB,559001-7611,Telefon 08-726 81 14,"Svandammsvägen 42, 126 34 Hägersten"
Montecinos Franjola Design AB,556988-8729,,"Österlånggatan 16 b, 503 31 Borås"
D OFFICE arkitekter AB,556686-2503,,"Heurlins Plats 1, 413 30 Göteborg"
3dO arkitekter AB,556393-4123,Telefon 08-662 01 35,"Kammakargatan 27 0tr, 111 60 Stockholm"
Note Design Studio AB,556740-0303,Telefon 08-656 88 04,"Nytorgsgatan 23 Bv, 116 40 Stockholm"
Witte Sundell Arkitekter AB,556266-6387,Telefon 08-545 553 00,"Hornsgatan 166, 117 28 Stockholm"
Kontrollbolaget Norr AB,559150-2397,Telefon 073-050 70 49,"Fältskärsleden 1 Bv, 802 80 Gävle"
Nordisk Möbelkonst AB,556850-0325,,"Östra Storgatan 37, 553 21 Jönköping"
Bee Urban Green Spaces AB,559466-6223,,"Karlavägen 100, 115 26 Stockholm"
2BK Arkitekter AB,556574-5436,,"Swedenborgsgatan 2, 118 48 Stockholm"
Storey interior design group AB,556826-8451,Telefon 070-492 36 64,"Skeppargatan 17, 114 52 Stockholm"
kod arkitekter AB,556635-5839,Telefon 08-30 08 70,"Stora Nygatan 44, 111 27 Stockholm"
Myquest AB,556778-1397,Telefon 070-228 80 07,"Västbovägen 8, 182 35 Danderyd"
Forma Träindustri AB,559145-7105,Telefon 070-983 73 79,"Kolmilevägen 4, 572 36 Oskarshamn"
EMPRAL AB,559166-6846,,"Vargmötesvägen 2 b, 186 30 Vallentuna"
Studio LAAW AB,559135-6034,,"Kaptensvägen 6, 132 46 Saltsjö-Boo"
Snidare Arkitekter AB,556588-7709,Telefon 08-644 10 60,"Nytorgsgatan 17 a, 116 22 Stockholm"
G Inredningar AB,556724-3471,Telefon 08-661 60 08,"Stockholmsvägen 60 a, 181 42 Lidingö"
Lindstam.Broman.Elgström.arkitekt AB,556368-2565,,"Södra Järnvägsgatan 5, 352 34 Växjö"
Ahlqvist & Almqvist Arkitekter AB,556259-1353,,"Tegelviksgatan 54, 116 41 Stockholm"
ASH Group AB,559266-1432,,"Lilla Nygatan 2 b, 411 09 Göteborg"
CRIO AB,556788-3755,,"Nastagatan 17, 702 27 Örebro"
Ateljé Nord AB,559116-0865,Telefon 076-633 32 80,"Kommendörsgatan 26, 114 48 Stockholm"
Stamuli AB,559057-7135,,"Grindsgatan 52, 118 57 Stockholm"
Soniqa Akustik AB,559386-5826,,"Stora Nygatan 40, 211 37 Malmö"
Stackelberg & Co AB,556955-6276,,"Styrmansgatan 5, 114 54 Stockholm"
Anders Holmberg Arkitekter Aktiebolag,556608-7085,,"Slakterigatan 10 Port 20, 721 32 Västerås"
Kungens Kök & Design AB,559424-2157,,"Geometrivägen 1 b, 141 75 Kungens Kurva"
Arkitektur & Byggledning 05 AB,556682-6441,,"Beritta Gurrisgatan 13, 217 74 Malmö"
Gardinova AB,559396-3449,,"Parkvägen 2, 169 35 Solna"
Ideas AB,556366-8929,Telefon 040-30 74 80,"Lokgatan 9 d, 211 20 Malmö"
Gottlieb Design AB,556711-1611,Telefon 070-342 88 85,"Narvavägen 5, 114 60 Stockholm"
GAIA Studio AB,556706-1352,,"Valhallavägen 120, 114 41 Stockholm"
Mondo arkitekter Värmland AB,556456-6296,Telefon 054-22 22 80,"Tynäsgatan 6, 652 16 Karlstad"
Rstudio for architecture AB,556806-9214,Telefon 0300-282 87,"Andra Långgatan 46, 413 18 Göteborg"
A-sidan arkitektkontor AB,556501-1854,Telefon 018-64 05 90,"Olof Palmes Plats 8, 753 21 Uppsala"
Skönebrant Fastighetsförmedling AB,556912-2129,,"Köpmangatan 3, 722 15 Västerås"
Joäng Mark & Trädgård AB,556852-5975,,"Godsvägen 8, 231 62 Trelleborg"
"Stadion Arkitekter Engstrand, Kempe, Mårtensson, Sundström och Varhelyi Aktiebolag",556318-2624,,"Svartmangatan 9, 111 29 Stockholm"
Pecarbo Sverige AB,556676-1630,,"Vidargatan 4 Lgh 1401, 113 27 Stockholm"
Grand Construction Stockholm AB,556988-6574,,"Elsa Borgs Gata 20, 129 53 Hägersten"
02 landskap Arkitektkontor Aktiebolag,556337-8727,Telefon 031-711 14 80,"Pusterviksgatan 13, 413 30 Göteborg"
Nude Atelje AB,556855-2581,,"Norr Mälarstrand 12, 112 20 Stockholm"
AB Arkitektlaget Skåne,556635-7132,Telefon 042-19 96 00,"Drottninggatan 92, 252 21 Helsingborg"
INTRO Homestyling & Interior AB,556663-4662,Telefon 031-13 01 90,"Åvägen 17 j, 412 51 Göteborg"
Ariadne Engineering AB,556516-6278,Telefon 021-80 09 06,"Flottiljgatan 61 Hässlö Park, 721 31 Västerås"
Doos Design Studio AB,559085-0003,,"Bergsgatan 6, 112 23 Stockholm"
Sveriges Formbar AB,556915-2985,Telefon 040-607 11 25,"Hästvägen 4 d, 212 35 Malmö"
Common People Architecture AB,559387-7375,,"Brännkyrkagatan 44, 118 22 Stockholm"
agnasARK AB,556648-2542,Telefon 0247-79 20 60,"Torget 4, 793 31 Leksand"
Kaka Arkitekter AB,556977-2972,,"Chalmersgatan 1, 411 35 Göteborg"
Gravity Group AB,556888-5619,,"Tellusborgsvägen 67 a 2tr, 126 29 Hägersten"
by Jansarve AB,559043-9906,,"Södra Kyrkogatan 3, 621 46 Visby"
